title,author,journal,volume,number,pages,year,cite_id,cites
"Riqueza, endemismo y conservación de los mamíferos de Colombia","S Solari, Y Muñoz-Saba, JV Rodríguez-Mahecha, TR Defler, ...",Mastozoología neotropical,20,(2),301-365,2013,8545857613228663677,289
Roadmap on optical security,"B Javidi, A Carnicer, M Yamaguchi, T Nomura, E Pérez-Cabré, MS Millán, ...",Journal of Optics,18,(8),083001,2016,358355558456571536,268
The Burmese python genome reveals the molecular basis for extreme adaptation in snakes,"TA Castoe, APJ de Koning, KT Hall, DC Card, DR Schield, MK Fujita, ...",Proceedings of the National Academy of Sciences,110,(51),20645-20650,2013,9682074416381653981,252
Partitioning the heritability of Tourette syndrome and obsessive compulsive disorder reveals differences in genetic architecture,"LK Davis, D Yu, CL Keenan, ER Gamazon, AI Konkashbaev, EM Derks, ...",PLoS Genet,9,(10),e1003864,2013,13121151430823760111,245
Subsurface cation vacancy stabilization of the magnetite (001) surface,"R Bliem, E McDermott, P Ferstl, M Setvin, O Gamba, J Pavelec, ...",Science,346,(6214),1215-1218,2014,12121792455310132718,203
Clave de identificación de los murciélagos de Sudamérica/Chave de identificação dos morcegos da América do Sul,"MM Díaz, S Solari, LF Aguirre, L Aguiar, RM Barquez",Publicación Especial Nro,2,,160,2016,17149388939528073018,175
Optical encryption and QR codes: secure and noise-free information retrieval,"JF Barrera, A Mira, R Torroba",Optics express,21,(5),5373-5378,2013,3869542399236188232,172
Linking rhizosphere microbiome composition of wild and domesticated Phaseolus vulgaris to genotypic and root phenotypic traits,"JE Pérez-Jaramillo, VJ Carrión, M Bosse, LFV Ferrão, M de Hollander, ...",The ISME journal,11,(10),2244-2257,2017,2674019255302612748,163
The origin and maintenance of montane diversity: integrating evolutionary and ecological processes,"CH Graham, AC Carnaval, CD Cadena, KR Zamudio, TE Roberts, ...",Ecography,37,(8),711-719,2014,7136816623967899265,159
Selective removal of phosphate from wastewater using hydrated metal oxides dispersed within anionic exchange media,"NY Acelas, BD Martin, D López, B Jefferson",Chemosphere,119,,1353-1360,2015,3121222783538297326,158
Structural analysis of char by Raman spectroscopy: Improving band assignments through computational calculations from first principles,"MW Smith, I Dallmeyer, TJ Johnson, CS Brauer, JS McEwen, JF Espinal, ...",Carbon,100,,678-692,2016,8569481184003909448,157
Temephos resistance in Aedes aegypti in Colombia compromises dengue vector control,"N Grisales, R Poupardin, S Gomez, I Fonseca-Gonzalez, H Ranson, ...",PLoS Negl Trop Dis,7,(9),e2438,2013,16706160457930668620,154
Genome-wide association study of Tourette's syndrome,"JM Scharf, D Yu, CA Mathews, BM Neale, SE Stewart, JA Fagerness, ...",Molecular psychiatry,18,(6),721-728,2013,623104561762585354,150
CO2 reforming of methane over Ni/Mg/Al/Ce mixed oxides,"CE Daza, J Gallego, JA Moreno, F Mondragón, S Moreno, R Molina",Catalysis Today,133,,357-366,2008,1637602103032876224,150
Comparative phylogeographic analyses illustrate the complex evolutionary history of threatened cloud forests of northern Mesoamerica,"JF Ornelas, V Sosa, DE Soltis, JM Daza, C González, PS Soltis, ...",PloS one,8,(2),e56283,2013,11850155312030667873,142
Tissue remodelling in chronic bronchial diseases: from the epithelial to mesenchymal phenotype,"M Pain, O Bermudez, P Lacoste, PJ Royer, K Botturi, A Tissot, S Brouard, ...",European Respiratory Review,23,(131),118-130,2014,6817569348637510729,135
Layered graphene/GaS van der Waals heterostructure: controlling the electronic properties and Schottky barrier by vertical strain,"KD Pham, NN Hieu, HV Phuc, IA Fedorov, CA Duque, B Amin, ...",Applied Physics Letters,113,(17),171605,2018,17028300398720863887,127
Improving the deconvolution and interpretation of XPS spectra from chars by ab initio calculations,"M Smith, L Scudiero, J Espinal, JS McEwen, M Garcia-Perez",Carbon,110,,155-171,2016,5255557199797730255,114
Global conservation status of turtles and tortoises (order Testudines),"AGJ Rhodin, CB Stanford, PP Van Dijk, C Eisemberg, L Luiselli, ...",Chelonian Conservation and Biology,17,(2),135-161,2018,12542051141176373840,109
Cross-disorder genome-wide analyses suggest a complex genetic relationship between Tourette’s syndrome and OCD,"D Yu, CA Mathews, JM Scharf, BM Neale, LK Davis, ER Gamazon, ...",American Journal of Psychiatry,172,(1),82-93,2015,2857470217388273765,105
"Formation, habitability, and detection of extrasolar moons","R Heller, D Williams, D Kipping, MA Limbach, E Turner, R Greenberg, ...",Astrobiology,14,(9),798-835,2014,9580682940874281527,102
Models with radiative neutrino masses and viable dark matter candidates,"D Restrepo, O Zapata, CE Yaguna",Journal of High Energy Physics,2013,(11),11,2013,6285601477586304549,102
Ultrasonic degradation of acetaminophen in water: effect of sonochemical parameters and water matrix,"E Villaroel, J Silva-Agredo, C Petrier, G Taborda, RA Torres-Palma",Ultrasonics sonochemistry,21,(5),1763-1769,2014,1951301158925330370,97
Supercritical water gasification of sewage sludge: gas production and phosphorus recovery,"NY Acelas, DP López, DWFW Brilman, SRA Kersten, AMJ Kootstra",Bioresource technology,174,,167-175,2014,14145465748481693408,96
Understanding the role of iron in the magnetism of Fe doped ZnO nanoparticles,"JJ Beltrán, CA Barrero, A Punnoose",Physical Chemistry Chemical Physics,17,(23),15284-15296,2015,8896989155000821168,95
"Degradation of highly consumed fluoroquinolones, penicillins and cephalosporins in distilled water and simulated hospital wastewater by UV254 and UV254/persulfate processes","EA Serna-Galvis, F Ferraro, J Silva-Agredo, RA Torres-Palma",Water research,122,,128-138,2017,8028180902379925227,89
Implementación de una solución de domótica basado en las mejores soluciones y prácticas del mercado actual,"C López, M Espinoza, AB Padilla",Sinergia e Innovación,,,88-120,2015,12600661583051244270,87
Higher level classification of phyllostomid bats with a summary of DNA synapomorphies,"RJ Baker, S Solari, A Cirranello, NB Simmons",Acta Chiropterologica,18,(1),1-38,2016,1546220737809205114,86
"Rhodnius barretti, a new species of Triatominae (Hemiptera: Reduviidae) from western Amazonia","F Abad-Franch, MG Pavan, N Jaramillo-O, FS Palomeque, C Dale, ...",Memórias do Instituto Oswaldo Cruz,108,,92-99,2013,5123969317887409356,83
Acute and sub-lethal toxicity of eight essential oils of commercial interest against the filariasis mosquito Culex quinquefasciatus and the housefly Musca domestica,"G Benelli, R Pavela, C Giordani, L Casettari, G Curzi, L Cappellacci, ...",Industrial crops and products,112,,668-680,2018,11474012105933688085,82
Dual role of CO in the stability of subnano Pt clusters at the Fe3O4 (001) surface,"R Bliem, JES van der Hoeven, J Hulva, J Pavelec, O Gamba, ...",Proceedings of the National Academy of Sciences,113,(32),8921-8926,2016,2585406330224678917,81
Experimental QR code optical encryption: noise-free data recovering,"JF Barrera, A Mira-Agudelo, R Torroba",Optics letters,39,(10),3074-3077,2014,14660191882089719436,81
Comparison of extraction methods of chitin from Ganoderma lucidum mushroom obtained in submerged culture,"SP Ospina Álvarez, DA Ramírez Cadavid, DM Escobar Sierra, ...",BioMed research international,2014,,,2014,3397231035582984748,80
Tracking climate change in a dispersal‐limited species: Reduced spatial and genetic connectivity in a montane salamander,"G Velo‐Antón, JL Parra, G Parra‐Olea, KR Zamudio",Molecular Ecology,22,(12),3261-3278,2013,680599713331319762,78
Comparative degradation of indigo carmine by electrochemical oxidation and advanced oxidation processes,"RE Palma-Goyes, J Silva-Agredo, I González, RA Torres-Palma",Electrochimica acta,140,,427-433,2014,15937667076505677582,77
"Structure, activity, and selectivity of bimetallic Pd-Fe/SiO2 and Pd-Fe/γ-Al2O3 catalysts for the conversion of furfural","N Pino, S Sitthisa, Q Tan, T Souza, D López, DE Resasco",Journal of Catalysis,350,,30-40,2017,17707048381259577499,76
Hand gesture recognition using machine learning and the Myo armband,"ME Benalcázar, AG Jaramillo, A Zea, A Páez, VH Andaluz",2017 25th European Signal Processing Conference (EUSIPCO),,,1040-1044,2017,17671250320465408069,75
Linear and nonlinear optical absorption coefficients in GaAs/Ga1− xAlxAs concentric double quantum rings: Effects of hydrostatic pressure and aluminum concentration,"HM Baghramyan, MG Barseghyan, AA Kirakosyan, RL Restrepo, ...",Journal of luminescence,134,,594-599,2013,9403838272098760119,71
"Elimination of the antibiotic norfloxacin in municipal wastewater, urine and seawater by electrochemical oxidation on IrO2 anodes","SD Jojoa-Sierra, J Silva-Agredo, E Herrera-Calderon, RA Torres-Palma",Science of the Total Environment,575,,1228-1238,2017,18039987624659697815,70
Pangenome-wide and molecular evolution analyses of the Pseudomonas aeruginosa species,"J Mosquera-Rendón, AM Rada-Bravo, S Cárdenas-Brito, M Corredor, ...",BMC genomics,17,(1),1-14,2016,9254114816563745298,70
Nonlinear optical rectification and second-harmonic generation in a semi-parabolic quantum well under intense laser field: effects of electric and magnetic fields,"F Ungan, JC Martínez-Orozco, RL Restrepo, ME Mora-Ramos, ...",Superlattices and Microstructures,81,,26-33,2015,11497515622234724771,70
Libro rojo de reptiles de Colombia,"MA Morales-Betancourt, CA Lasso, VP Páez, BC Bock",Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,,,,2015,15646831902520045193,69
Vertex-degree-based topological indices over graphs,"J Rada, R Cruz",MATCH Commun. Math. Comput. Chem,72,(3),603-616,2014,7186346785728331276,69
Ecosystem-wide impacts of deforestation in mangroves: the Urabá Gulf (Colombian Caribbean) case study,"JF Blanco, EA Estrada, LF Ortiz, LE Urrego",International Scholarly Research Notices,2012,,,2012,9033990246153706268,69
"Synthesis, leishmanicidal, trypanocidal and cytotoxic activity of quinoline-hydrazone hybrids","JC Coa, W Castrillón, W Cardona, M Carda, V Ospina, JA Muñoz, ...",European journal of medicinal chemistry,101,,746-753,2015,7160535569121499371,68
Galaxy Cluster Mass Reconstruction Project–II. Quantifying scatter and bias using contrasting mock catalogues,"L Old, R Wojtak, GA Mamon, RA Skibba, FR Pearce, D Croton, S Bamford, ...",Monthly Notices of the Royal Astronomical Society,449,(2),1897-1920,2015,1473241451780760686,68
Role of humic substances in the degradation pathways and residual antibacterial activity during the photodecomposition of the antibiotic ciprofloxacin in water,"J Porras, C Bedoya, J Silva-Agredo, A Santamaría, JJ Fernández, ...",Water research,94,,1-9,2016,13325842246763736796,67
Galaxy cluster mass reconstruction project–I. Methods and first results on galaxy-based techniques,"L Old, RA Skibba, FR Pearce, D Croton, SI Muldrew, JC Munoz-Cuartas, ...",Monthly Notices of the Royal Astronomical Society,441,(2),1513-1536,2014,5023973604142571150,67
Construcción del concepto de salud mental positiva: revisión sistemática,"CO Muñoz, D Restrepo, D Cardona",Revista Panamericana de Salud Pública,39,,166-173,2016,6936176188991370127,66
"Taxonomic, phylogenetic, and trait beta diversity in South American hummingbirds","BG Weinstein, B Tinoco, JL Parra, LM Brown, JA McGuire, FG Stiles, ...",The American Naturalist,184,(2),211-224,2014,8675591350761387767,66
FIMP realization of the scotogenic model,"E Molinaro, CE Yaguna, O Zapata",Journal of Cosmology and Astroparticle Physics,2014,(07),015,2014,586881728019015588,65
High frequency ultrasound as a selective advanced oxidation process to remove penicillinic antibiotics and eliminate its antimicrobial activity from water,"EA Serna-Galvis, J Silva-Agredo, AL Giraldo-Aguirre, OA Flórez-Acosta, ...",Ultrasonics sonochemistry,31,,276-283,2016,5817839037203424828,64
Anaerobic co-digestion of sewage sludge and food waste,"MS Prabhu, S Mutnuri",Waste management & research,34,(4),307-315,2016,3143301005404821086,64
"Comparison of route, mechanism and extent of treatment for the degradation of a β-lactam antibiotic by TiO2 photocatalysis, sonochemistry, electrochemistry and the photo-Fenton …","EA Serna-Galvis, J Silva-Agredo, AL Giraldo, OA Flórez, RA Torres-Palma",Chemical Engineering Journal,284,,953-962,2016,265423156595273234,64
An Atomic‐Scale View of CO and H2 Oxidation on a Pt/Fe3O4 Model Catalyst,"R Bliem, J van der Hoeven, A Zavodny, O Gamba, J Pavelec, ...",Angewandte Chemie,127,(47),14205-14208,2015,6332410129627893049,64
Adsorption and incorporation of transition metals at the magnetite (001) surface,"R Bliem, J Pavelec, O Gamba, E McDermott, Z Wang, S Gerhold, ...",Physical Review B,92,(7),075440,2015,4639581136711205385,64
Diversity of Colombian macrofungi (Ascomycota-Basidiomycota),"AM Vasco-Palacios, AE Franco-Molano",Mycotaxon,121,(1),100-158,2013,6799456945707221483,64
A global analysis of terrestrial plant litter dynamics in non-perennial waterways,"T Datry, A Foulquier, R Corti, D Von Schiller, K Tockner, C Mendoza-Lera, ...",Nature Geoscience,11,(7),497-503,2018,7356444111982414558,63
High Performance N‐Doped Carbon Electrodes Obtained via Hydrothermal Carbonization of Macroalgae for Supercapacitor Applications,"M Ren, Z Jia, Z Tian, D Lopez, J Cai, MM Titirici, AB Jorge",ChemElectroChem,5,(18),2686-2693,2018,85769585028208402,62
"Outline-based morphometrics, an overlooked method in arthropod studies?","JP Dujardin, D Kaba, P Solano, M Dupraz, KD McCoy, N Jaramillo-o",Infection,,,,2014,7572494388458734670,61
"Phylogenetic relationships of mouse opossums (Didelphidae, Marmosa) with a revised subgeneric classification and notes on sympatric diversity","RS Voss, EE Gutiérrez, S Solari, RV Rossi, SA Jansa",American Museum Novitates,2014,(3817),1-27,2014,16139198790170448048,61
"Comparative study of the effect of pharmaceutical additives on the elimination of antibiotic activity during the treatment of oxacillin in water by the photo-Fenton, TiO2 …","EA Serna-Galvis, J Silva-Agredo, AL Giraldo, OA Flórez-Acosta, ...",Science of the Total Environment,541,,1431-1438,2016,14078431617409969166,60
"Sonochemical degradation of the pharmaceutical fluoxetine: effect of parameters, organic and inorganic additives and combination with a biological system","EA Serna-Galvis, J Silva-Agredo, AL Giraldo-Aguirre, RA Torres-Palma",Science of the Total Environment,524,,354-360,2015,11346375857448567064,60
Antioxidant capacity and phenolic content of commonly used anti-inflammatory medicinal plants in Colombia,"N Jiménez, L Carrillo-Hormaza, A Pujol, F Álzate, E Osorio, ...",Industrial Crops and Products,70,,272-279,2015,16505733648905959760,60
Evolution of fruit development genes in flowering plants,"N Pabón-Mora, GKS Wong, BA Ambrose",Frontiers in plant science,5,,300,2014,13378681463918217877,59
Automatic recognition of anuran species based on syllable identification,"C Bedoya, C Isaza, JM Daza, JD López",Ecological Informatics,24,,200-209,2014,10872568696029029617,58
Characterization of flame-generated 2-D carbon nano-disks,"P Minutolo, M Commodo, A Santamaria, G De Falco, A D’Anna",Carbon,68,,138-148,2014,3849661563710282921,58
Experimental scrambling and noise reduction applied to the optical encryption of QR codes,"JF Barrera, A Vélez, R Torroba",Optics express,22,(17),20268-20277,2014,7571314836241699379,57
Enhancement and inhibition effects of water matrices during the sonochemical degradation of the antibiotic dicloxacillin,"P Villegas-Guzman, J Silva-Agredo, AL Giraldo-Aguirre, O Flórez-Acosta, ...",Ultrasonics sonochemistry,22,,211-219,2015,12996368432970567880,56
The Aquilegia FRUITFULL‐like genes play key roles in leaf morphogenesis and inflorescence development,"N Pabón‐Mora, B Sharma, LD Holappa, EM Kramer, A Litt",The Plant Journal,74,(2),197-212,2013,10800927450888881580,56
Alkaloid metabolite profiles by GC/MS and acetylcholinesterase inhibitory activities with binding-mode predictions of five Amaryllidaceae plants,"N Cortes, R Alvarez, EH Osorio, F Alzate, S Berkov, E Osorio",Journal of Pharmaceutical and Biomedical Analysis,102,,222-228,2015,15939600556683558712,55
Automatic identification of species with neural networks,"A Hernández-Serna, LF Jiménez-Segura",PeerJ,2,,e563,2014,2354866718012888278,55
Impurity-related linear and nonlinear optical response in quantum-well wires with triangular cross section,"CA Duque, ME Mora-Ramos, E Kasapoglu, F Ungan, U Yesilgul, ...",Journal of luminescence,143,,304-313,2013,2761734438148505710,55
First-principles equation of state and phase stability of niobium pentoxide,"C Valencia-Balvín, S Pérez-Walton, GM Dalpian, JM Osorio-Guillén",Computational materials science,81,,133-140,2014,7845380487964960520,54
Adsorption of Uranium over NH2-Functionalized Ordered Silica in Aqueous Solutions,"J Huynh, R Palacio, F Safizadeh, G Lefèvre, M Descostes, L Eloy, ...",ACS applied materials & interfaces,9,(18),15672-15684,2017,7779334766180340101,53
"CH3NH3CaI3 Perovskite: Synthesis, Characterization, and First-Principles Studies","JI Uribe, D Ramirez, JM Osorio-Guillén, J Osorio, F Jaramillo",The Journal of Physical Chemistry C,120,(30),16393-16398,2016,10599111226790159540,53
Morphological diagnoses of higher-level phyllostomid taxa (Chiroptera: Phyllostomidae),"A Cirranello, NB Simmons, S Solari, RJ Baker",Acta Chiropterologica,18,(1),39-71,2016,16058362931526743692,53
Process-based species pools reveal the hidden signature of biotic interactions amid the influence of temperature filtering,"JP Lessard, BG Weinstein, MK Borregaard, KA Marske, DR Martin, ...",The American Naturalist,187,(1),75-88,2016,4611596550096750526,53
Five new species of entomopathogenic fungi from the Amazon and evolution of neotropical Ophiocordyceps,"TI Sanjuan, AE Franco-Molano, RM Kepler, JW Spatafora, J Tabima, ...",Fungal Biology,119,(10),901-916,2015,6721881353238395289,53
Neuroprotective activity and acetylcholinesterase inhibition of five Amaryllidaceae species: A comparative study,"N Cortes, RA Posada-Duque, R Alvarez, F Alzate, S Berkov, ...",Life sciences,122,,42-50,2015,15961438352400350520,53
"Magnetic properties of Fe doped, Co doped, and Fe+ Co co-doped ZnO","JJ Beltrán, JA Osorio, CA Barrero, CB Hanna, A Punnoose",Journal of Applied Physics,113,(17),17C308,2013,16353859189520319489,53
Fuzzy image segmentation based upon hierarchical clustering,"D Gómez, J Yanez, C Guada, JT Rodríguez, J Montero, E Zarrazola",Knowledge-Based Systems,87,,26-37,2015,1195326220572047984,52
PEG-g-chitosan nanoparticles functionalized with the monoclonal antibody OX26 for brain drug targeting,"Y Monsalve, G Tosi, B Ruozi, D Belletti, A Vilella, M Zoli, MA Vandelli, ...",Nanomedicine,10,(11),1735-1750,2015,5332050534150214993,51
Planar pentacoordinate carbons in CBe 5 4− derivatives,"R Grande-Aztatzi, JL Cabellos, R Islas, I Infante, JM Mercero, A Restrepo, ...",Physical Chemistry Chemical Physics,17,(6),4620-4624,2015,17388220426591162582,51
Direct detection of fermion dark matter in the radiative seesaw model,"A Ibarra, CE Yaguna, O Zapata",Physical Review D,93,(3),035012,2016,5907450942347409661,50
"Relationship between anode material, supporting electrolyte and current density during electrochemical degradation of organic compounds in water","FL Guzmán-Duque, RE Palma-Goyes, I González, G Peñuela, ...",Journal of hazardous materials,278,,221-226,2014,1128335666070874022,50
A preliminary reconstruction of the orbit of the Chelyabinsk Meteoroid,"JI Zuluaga, I Ferrin",arXiv preprint arXiv:1302.5377,,,,2013,17761919894226969504,50
Brans-Dicke Theory with : Black Holes and Large Scale Structures,"S Bhattacharya, KF Dialektopoulos, AE Romano, TN Tomaras",Physical review letters,115,(18),181104,2015,5448775654529097649,49
Theoretical methods for attosecond electron and nuclear dynamics: applications to the H2 molecule,"A Palacios, JL Sanz-Vicario, F Martín",Journal of Physics B: Atomic,,,,2015,10759664952977601965,49
Cluster nucleation and growth from a highly supersaturated adatom phase: Silver on magnetite,"R Bliem, R Kosak, L Perneczky, Z Novotny, O Gamba, D Fobes, Z Mao, ...",ACS nano,8,(7),7531-7537,2014,16747129335157068566,49
Cambios recientes en la sistemática y taxonomía de murciélagos Neotropicales (Mammalia: Chiroptera),"S Solari, V Martínez-Arias",Therya,5,(1),167-196,2014,4745854431672328820,49
Deciphering rhizosphere microbiome assembly of wild and modern common bean (Phaseolus vulgaris) in native and agricultural soils from Colombia,"JE Pérez-Jaramillo, M de Hollander, CA Ramírez, R Mendes, ...",Microbiome,7,(1),1-16,2019,6872814299909410604,48
Phosphorus recovery through struvite precipitation from wastewater: effect of the competitive ions,"NY Acelas, E Flórez, D López",Desalination and Water Treatment,54,(9),2468-2479,2015,11819531846872007745,48
"Ictiofauna y desarrollo del sector hidroeléctrico en la cuenca del río Magdalena-Cauca, Colombia","LF Jiménez-Segura, D Restrepo-Santamaría, S López-Casas, J Delgado, ...",Biota Colombiana,15,(2),,2014,4996268574579886601,48
Electron-related optical responses in triangular quantum dots,"A Tiutiunnyk, V Tulupenko, ME Mora-Ramos, E Kasapoglu, F Ungan, ...",Physica E: Low-dimensional Systems and Nanostructures,60,,127-132,2014,2417993624413161502,48
Adsorption of Formic Acid on the Fe3O4(001) Surface,"O Gamba, H Noei, J Pavelec, R Bliem, M Schmid, U Diebold, A Stierle, ...",The Journal of Physical Chemistry C,119,(35),20459-20465,2015,8390412661445663774,47
Radiative neutrino masses in the singlet-doublet fermion dark matter model with scalar singlets,"D Restrepo, A Rivera, M Sánchez-Peláez, O Zapata, W Tangarife",Physical Review D,92,(1),013005,2015,16813189100786413419,47
Selective conversion of glycerol to hydroxyacetone in gas phase over La2CuO4 catalyst,"M Velasquez, A Santamaria, C Batiot-Dupeyrat",Applied Catalysis B: Environmental,160,,606-613,2014,130887237644095572,47
Benzenoid systems with extremal vertex-degree-based topological indices,"J Rada, R Cruz, I Gutman",MATCH Commun. Math. Comput. Chem,72,(1),125-136,2014,7744879664703405790,47
The influence of thermal evolution in the magnetic protection of terrestrial planets,"JI Zuluaga, S Bustamante, PA Cuartas, JH Hoyos",The Astrophysical Journal,770,(1),23,2013,13659526760798544991,47
Incoherent excitation of thermally equilibrated open quantum systems,"LA Pachón, P Brumer",Physical Review A,87,(2),022106,2013,4736124221414517079,46
Turtles and tortoises are in trouble,"CB Stanford, JB Iverson, AGJ Rhodin, PP van Dijk, RA Mittermeier, ...",Current Biology,30,(12),R721-R735,2020,9341473311343237930,45
Ionic liquids intercalated in montmorillonite as the sorptive phase for the extraction of low-polarity organic compounds from water by rotating-disk sorptive extraction,"JA Fiscal-Ladino, M Obando-Ceballos, M Rosero-Moreano, DF Montaño, ...",Analytica chimica acta,953,,23-31,2017,1823717165603339370,45
The effect of temperature and support on the reduction of cobalt oxide: an in situ X-ray diffraction study,"LJ Garces, B Hincapie, R Zerger, SL Suib",The Journal of Physical Chemistry C,119,(10),5484-5490,2015,15150392762794646176,45
Geometric morphometrics for the taxonomy of 11 species of Anopheles (Nyssorhynchus) mosquitoes,"N JARAMILLO‐O, JP Dujardin, D Calle‐Londoño, I Fonseca‐González",Medical and Veterinary Entomology,29,(1),26-36,2015,6122860595547670648,44
Evidence of Ferromagnetic Signal Enhancement in Fe and Co Codoped ZnO Nanoparticles by Increasing Superficial Co3+ Content,"JJ Beltrán, CA Barrero, A Punnoose",The Journal of Physical Chemistry C,118,(24),13203-13217,2014,14940963458122908205,44
Effect of intense high-frequency laser field on the linear and nonlinear intersubband optical absorption coefficients and refractive index changes in a parabolic quantum well …,"U Yesilgul, F Ungan, S Sakiroglu, ME Mora-Ramos, CA Duque, ...",Journal of luminescence,145,,379-386,2014,15618887645217992696,44
Scalar dark matter and fermion coannihilations in the radiative seesaw model,"M Klasen, CE Yaguna, JD Ruiz-Álvarez, D Restrepo, O Zapata",Journal of Cosmology and Astroparticle Physics,2013,(04),044,2013,11229301375520820140,44
Chemical characterization of soot precursors and soot particles produced in hexane and diesel surrogates using an inverse diffusion flame burner,"M Velásquez, F Mondragón, A Santamaría",Fuel,104,,681-690,2013,6800875794678115182,44
A multi-technique study of CO2 adsorption on Fe3O4 magnetite,"J Pavelec, J Hulva, D Halwidl, R Bliem, O Gamba, Z Jakub, F Brunbauer, ...",The Journal of chemical physics,146,(1),014701,2017,14250018142148414052,43
Fruits of selected wild and cultivated Andean plants as sources of potential compounds with antioxidant and anti-aging activity,"K Bravo, F Alzate, E Osorio",Industrial Crops and Products,85,,341-352,2016,12592491647086646421,43
Effect of different media on exopolysaccharide and biomass production by the green microalga Botryococcus braunii,"KCD Bayona, LA Garcés",Journal of applied phycology,26,(5),2087-2095,2014,15781177692155328177,43
"Donor impurity-related linear and nonlinear optical absorption coefficients in GaAs/Ga1− xAlxAs concentric double quantum rings: Effects of geometry, hydrostatic pressure, and …","HM Baghramyan, MG Barseghyan, AA Kirakosyan, RL Restrepo, ...",Journal of luminescence,145,,676-683,2014,4255018188884647951,43
"Immobilization of lipases in hydrophobic chitosan for selective hydrolysis of fish oil: The impact of support functionalization on lipase activity, selectivity and stability","P Urrutia, R Arrieta, L Alvarez, C Cardenas, M Mesa, L Wilson",International journal of biological macromolecules,108,,674-686,2018,600330186258046405,42
Early stages of bone fracture healing: formation of a fibrin–collagen scaffold in the fracture hematoma,"LF Echeverri, MA Herrero, JM Lopez, G Oleaga",Bulletin of mathematical biology,77,(1),156-183,2015,1373884095549280174,42
Intense laser field effects on the linear and nonlinear optical properties in a semiconductor quantum wire with triangle cross section,"MG Barseghyan, CA Duque, EC Niculescu, A Radu",Superlattices and Microstructures,66,,10-22,2014,12050852953186786792,42
Optical nonlinearities associated to applied electric fields in parabolic two-dimensional quantum rings,"CM Duque, AL Morales, ME Mora-Ramos, CA Duque",Journal of luminescence,143,,81-88,2013,56523325355246098,42
Preparation and characterization of biodegradable nano hydroxyapatite–bacterial cellulose composites with well-defined honeycomb pore arrays for bone tissue engineering …,"PM Favi, SP Ospina, M Kachole, M Gao, L Atehortua, TJ Webster",Cellulose,23,(2),1263-1282,2016,10550707098291191699,41
The abatement of indigo carmine using active chlorine electrogenerated on ternary Sb2O5-doped Ti/RuO2-ZrO2 anodes in a filter-press FM01-LC reactor,"RE Palma-Goyes, J Vazquez-Arenas, RA Torres-Palma, C Ostos, ...",Electrochimica Acta,174,,735-744,2015,6786019953498411480,41
Planar tetracoordinate carbons with a double bond in CAl 3 E clusters,"Z Cui, Y Ding, JL Cabellos, E Osorio, R Islas, A Restrepo, G Merino",Physical Chemistry Chemical Physics,17,(14),8769-8775,2015,14711830123594997840,41
Microstructural and electrochemical analysis of Sb2O5 doped-Ti/RuO2-ZrO2 to yield active chlorine species for ciprofloxacin degradation,"RE Palma-Goyes, J Vazquez-Arenas, C Ostos, F Ferraro, ...",Electrochimica acta,213,,740-751,2016,18445259534623070797,40
A novel method for identifying exoplanetary rings,"JI Zuluaga, DM Kipping, M Sucerquia, JA Alvarado",The Astrophysical Journal Letters,803,(1),L14,2015,12945452065448106509,40
Wiener index of Eulerian graphs,"I Gutman, R Cruz, J Rada",Discrete Applied Mathematics,162,,247-250,2014,12963205355664143274,40
Warfarin initiation nomograms for venous thromboembolism,"P Garcia, W Ruiz, CL Munarriz",Cochrane Database of Systematic Reviews,,,,2013,62445408827742696,40
Donor impurity states and related optical responses in triangular quantum dots under applied electric field,"E Kasapoglu, F Ungan, H Sari, I Sökmen, ME Mora-Ramos, CA Duque",Superlattices and Microstructures,73,,171-184,2014,1486188478930832559,39
"Structural effects of the Solanum steroids solasodine, diosgenin and solanine on human erythrocytes and molecular models of eukaryotic membranes","M Manrique-Moreno, J Londoño-Londoño, M Jemioła-Rzemińska, ...",Biochimica et Biophysica Acta (BBA)-Biomembranes,1838,(1),266-277,2014,15209420657159233057,39
Effect of salicylic acid and structurally related compounds in the accumulation of phytoalexins in cotyledons of common bean (Phaseolus vulgaris L.) cultivars,"D Durango, N Pulgarin, F Echeverri, G Escobar, W Quiñones",Molecules,18,(9),10609-10628,2013,1969434376669232129,39
The maximum sizes of large scale structures in alternative theories of gravity,"S Bhattacharya, KF Dialektopoulos, AE Romano, C Skordis, TN Tomaras",Journal of Cosmology and Astroparticle Physics,2017,(07),018,2017,3174565741269391593,38
Characterization of a second secologanin synthase isoform producing both secologanin and secoxyloganin allows enhanced de novo assembly of a Catharanthus roseus transcriptome,"TD de Bernonville, E Foureau, C Parage, A Lanoue, M Clastre, ...",BMC genomics,16,(1),1-19,2015,15038741341395014720,38
"Synthesis, leishmanicidal and cytotoxic activity of triclosan-chalcone, triclosan-chromone and triclosan-coumarin hybrids","E Otero, S Vergara, SM Robledo, W Cardona, M Carda, ID Vélez, C Rojas, ...",Molecules,19,(9),13251-13266,2014,1613278900203984323,38
Entomopathogens of Amazonian stick insects and locusts are members of the Beauveria species complex (Cordyceps sensu stricto),"T Sanjuan, J Tabima, S Restrepo, T Læssøe, JW Spatafora, ...",Mycologia,106,(2),260-275,2014,6292409747538340992,38
